case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core001,2,2,True,16.48,5.44,4.89,campp_3dspeaker,clean_turn_taking,mandarin,62.93
v2_core002,2,2,True,19.25,8.12,8.8,campp_3dspeaker,clean_turn_taking,mandarin,2.89
v2_core003,2,2,True,11.78,3.43,4.42,campp_3dspeaker,clean_turn_taking,mandarin,3.09
v2_core004,2,2,True,19.34,7.65,10.41,campp_3dspeaker,clean_turn_taking,mandarin,2.17
v2_core005,2,2,True,11.29,2.86,2.66,campp_3dspeaker,clean_turn_taking,mandarin,3.11
v2_core006,2,2,True,17.16,4.68,4.67,campp_3dspeaker,reentry_short_gap,mandarin,2.58
v2_core007,2,2,True,17.58,7.08,9.87,campp_3dspeaker,reentry_short_gap,mandarin,2.46
v2_core008,2,2,True,9.25,2.01,2.18,campp_3dspeaker,reentry_short_gap,mandarin,1.83
v2_core009,2,2,True,18.01,5.27,5.23,campp_3dspeaker,reentry_short_gap,mandarin,2.08
v2_core010,2,2,True,11.16,2.73,3.44,campp_3dspeaker,reentry_short_gap,mandarin,2.48
v2_core011,2,2,True,18.7,5.99,4.63,campp_3dspeaker,reentry_long_gap,mandarin,2.61
v2_core012,2,2,True,16.55,5.66,7.7,campp_3dspeaker,reentry_long_gap,mandarin,2.71
v2_core013,2,2,True,14.74,4.08,5.43,campp_3dspeaker,reentry_long_gap,mandarin,3.04
v2_core014,2,2,True,17.93,5.74,5.61,campp_3dspeaker,reentry_long_gap,mandarin,2.57
v2_core015,2,2,True,20.09,6.59,8.23,campp_3dspeaker,reentry_long_gap,mandarin,2.33
v2_core016,2,2,True,23.94,9.11,15.36,campp_3dspeaker,short_backchannel,mandarin,2.1
v2_core017,3,2,False,15.96,4.42,9.52,campp_3dspeaker,short_backchannel,mandarin,2.82
v2_core018,2,2,True,21.08,6.18,10.84,campp_3dspeaker,short_backchannel,mandarin,1.65
v2_core019,2,2,True,23.71,5.78,10.07,campp_3dspeaker,short_backchannel,mandarin,1.69
v2_core020,2,2,True,12.98,2.45,4.26,campp_3dspeaker,short_backchannel,mandarin,2.44
v2_core021,2,2,True,17.36,6.14,7.9,campp_3dspeaker,agent_barge_in,mandarin,2.53
v2_core022,2,2,True,20.02,8.27,8.64,campp_3dspeaker,agent_barge_in,mandarin,2.33
v2_core023,2,2,True,12.82,5.0,6.04,campp_3dspeaker,agent_barge_in,mandarin,2.81
v2_core024,2,2,True,19.99,8.53,8.98,campp_3dspeaker,agent_barge_in,mandarin,1.87
v2_core025,2,2,True,16.28,7.27,6.87,campp_3dspeaker,agent_barge_in,mandarin,2.58
v2_core026,2,2,True,17.13,6.5,6.73,campp_3dspeaker,agent_barge_in,mandarin,1.99
v2_core027,2,2,True,18.04,6.85,8.49,campp_3dspeaker,agent_barge_in,mandarin,2.15
v2_core028,2,2,True,26.16,12.73,15.3,campp_3dspeaker,customer_barge_in,mandarin,2.07
v2_core029,2,2,True,17.29,6.64,7.5,campp_3dspeaker,customer_barge_in,mandarin,1.72
v2_core030,2,2,True,13.7,6.18,5.06,campp_3dspeaker,customer_barge_in,mandarin,2.26
v2_core031,2,2,True,20.14,7.36,7.0,campp_3dspeaker,customer_barge_in,mandarin,2.08
v2_core032,2,2,True,17.66,6.73,9.03,campp_3dspeaker,customer_barge_in,mandarin,2.07
v2_core033,2,2,True,16.61,6.84,8.43,campp_3dspeaker,customer_barge_in,mandarin,2.1
v2_core034,2,2,True,20.45,8.19,9.45,campp_3dspeaker,customer_barge_in,mandarin,1.69
v2_core035,2,2,True,28.54,16.64,22.41,campp_3dspeaker,simultaneous_start,mandarin,1.42
v2_core036,1,2,False,53.16,45.19,68.13,campp_3dspeaker,simultaneous_start,mandarin,0.73
v2_core037,1,2,False,52.33,41.1,66.08,campp_3dspeaker,simultaneous_start,mandarin,0.88
v2_core038,2,2,True,25.29,15.81,26.35,campp_3dspeaker,simultaneous_start,mandarin,1.32
v2_core039,2,2,True,23.09,11.28,11.07,campp_3dspeaker,simultaneous_start,mandarin,1.53
v2_core040,4,2,False,51.19,40.69,42.87,campp_3dspeaker,simultaneous_start,mandarin,1.87
v2_core041,2,2,True,14.92,5.47,8.99,campp_3dspeaker,hokkien_pure,hokkien,3.4
v2_core042,2,2,True,18.67,8.04,13.15,campp_3dspeaker,hokkien_pure,hokkien,2.62
v2_core043,2,2,True,11.99,3.45,5.35,campp_3dspeaker,hokkien_pure,hokkien,2.6
v2_core044,2,2,True,19.98,10.37,17.35,campp_3dspeaker,hokkien_pure,hokkien,2.92
v2_core045,2,2,True,16.36,3.35,4.74,campp_3dspeaker,hokkien_pure,hokkien,2.43
v2_core046,2,2,True,20.15,9.17,15.48,campp_3dspeaker,hokkien_pure,hokkien,2.73
v2_core047,2,2,True,11.69,3.54,5.9,campp_3dspeaker,hokkien_pure,hokkien,2.64
v2_core048,2,2,True,14.9,4.74,7.24,campp_3dspeaker,hokkien_pure,hokkien,2.92
v2_core049,2,2,True,14.46,4.48,6.84,campp_3dspeaker,hokkien_pure,hokkien,2.74
v2_core050,2,2,True,14.38,5.4,8.93,campp_3dspeaker,hokkien_pure,hokkien,2.06
