case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core001,2,2,True,5.32,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,2.97
v2_core002,2,2,True,5.59,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,1.68
v2_core003,2,2,True,20.93,16.31,31.91,pyannote_31_auto,clean_turn_taking,mandarin,3.19
v2_core004,2,2,True,4.85,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.44
v2_core005,2,2,True,11.34,6.31,11.89,pyannote_31_auto,clean_turn_taking,mandarin,0.69
v2_core006,3,2,False,15.07,8.54,8.5,pyannote_31_auto,reentry_short_gap,mandarin,0.66
v2_core007,2,2,True,5.26,0.61,1.41,pyannote_31_auto,reentry_short_gap,mandarin,0.6
v2_core008,3,2,False,43.35,42.59,60.48,pyannote_31_auto,reentry_short_gap,mandarin,0.42
v2_core009,4,2,False,15.12,9.64,9.17,pyannote_31_auto,reentry_short_gap,mandarin,0.5
v2_core010,3,2,False,23.59,20.46,38.28,pyannote_31_auto,reentry_short_gap,mandarin,1.78
v2_core011,3,2,False,17.85,12.18,14.9,pyannote_31_auto,reentry_long_gap,mandarin,1.45
v2_core012,2,2,True,8.2,2.28,4.6,pyannote_31_auto,reentry_long_gap,mandarin,1.88
v2_core013,3,2,False,7.98,1.86,3.3,pyannote_31_auto,reentry_long_gap,mandarin,2.16
v2_core014,4,2,False,14.52,8.39,7.92,pyannote_31_auto,reentry_long_gap,mandarin,1.57
v2_core015,3,2,False,13.3,6.86,6.84,pyannote_31_auto,reentry_long_gap,mandarin,1.16
v2_core016,2,2,True,6.06,0.0,0.0,pyannote_31_auto,short_backchannel,mandarin,0.39
v2_core017,4,2,False,7.61,2.36,7.59,pyannote_31_auto,short_backchannel,mandarin,0.45
v2_core018,2,2,True,7.17,0.85,2.16,pyannote_31_auto,short_backchannel,mandarin,0.37
v2_core019,3,2,False,10.84,2.16,5.34,pyannote_31_auto,short_backchannel,mandarin,0.32
v2_core020,2,2,True,16.22,9.68,24.02,pyannote_31_auto,short_backchannel,mandarin,0.49
v2_core021,2,2,True,5.93,0.14,0.18,pyannote_31_auto,agent_barge_in,mandarin,0.52
v2_core022,2,2,True,11.78,6.56,13.1,pyannote_31_auto,agent_barge_in,mandarin,0.44
v2_core023,2,2,True,11.01,7.14,14.24,pyannote_31_auto,agent_barge_in,mandarin,0.58
v2_core024,2,2,True,5.06,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.34
v2_core025,2,2,True,20.98,16.89,29.49,pyannote_31_auto,agent_barge_in,mandarin,2.0
v2_core026,2,2,True,5.86,0.09,0.1,pyannote_31_auto,agent_barge_in,mandarin,0.4
v2_core027,2,2,True,5.21,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.42
v2_core028,2,2,True,6.63,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.37
v2_core029,2,2,True,6.88,0.26,0.4,pyannote_31_auto,customer_barge_in,mandarin,1.47
v2_core030,3,2,False,18.48,14.15,40.12,pyannote_31_auto,customer_barge_in,mandarin,0.44
v2_core031,2,2,True,6.27,0.19,0.17,pyannote_31_auto,customer_barge_in,mandarin,1.41
v2_core032,2,2,True,5.91,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.39
v2_core033,2,2,True,16.65,10.94,23.45,pyannote_31_auto,customer_barge_in,mandarin,0.41
v2_core034,2,2,True,5.69,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,1.58
v2_core035,2,2,True,6.51,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.2
v2_core036,2,2,True,4.38,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,1.33
v2_core037,2,2,True,17.78,11.81,23.1,pyannote_31_auto,simultaneous_start,mandarin,0.15
v2_core038,2,2,True,4.39,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.21
v2_core039,2,2,True,6.52,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.27
v2_core040,3,2,False,17.2,11.79,15.01,pyannote_31_auto,simultaneous_start,mandarin,0.18
v2_core041,2,2,True,4.4,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.81
v2_core042,2,2,True,12.92,9.19,18.04,pyannote_31_auto,hokkien_pure,hokkien,0.51
v2_core043,2,2,True,4.82,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,2.04
v2_core044,2,2,True,4.92,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.63
v2_core045,2,2,True,4.51,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.52
v2_core046,2,2,True,4.96,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,1.86
v2_core047,2,2,True,4.99,0.1,0.08,pyannote_31_auto,hokkien_pure,hokkien,0.58
v2_core048,2,2,True,5.09,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.65
v2_core049,2,2,True,5.09,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.55
v2_core050,2,2,True,7.62,3.82,7.39,pyannote_31_auto,hokkien_pure,hokkien,0.41
v2_core051,2,2,True,6.02,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,1.74
v2_core052,2,2,True,4.35,0.03,0.02,pyannote_31_auto,codeswitch,codeswitch,0.59
v2_core053,2,2,True,5.46,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,0.37
v2_core054,2,2,True,21.06,15.21,27.24,pyannote_31_auto,codeswitch,codeswitch,1.62
v2_core055,2,2,True,5.94,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,0.52
v2_core056,2,2,True,7.02,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,1.58
v2_core057,2,2,True,11.82,5.03,9.61,pyannote_31_auto,codeswitch,codeswitch,0.42
v2_core058,2,2,True,6.6,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,0.37
v2_core059,2,2,True,4.46,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,0.52
v2_core060,2,2,True,9.11,3.63,7.02,pyannote_31_auto,codeswitch,codeswitch,0.49
v2_core061,2,2,True,7.99,2.73,5.35,pyannote_31_auto,same_gender_similar,mandarin,0.43
v2_core062,2,2,True,26.32,20.0,37.82,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core063,2,2,True,20.96,17.04,29.64,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core064,2,2,True,18.92,13.67,26.81,pyannote_31_auto,same_gender_similar,mandarin,0.51
v2_core065,2,2,True,10.21,4.41,8.94,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core066,2,2,True,19.59,15.27,28.19,pyannote_31_auto,same_gender_similar,mandarin,2.4
v2_core067,2,2,True,13.17,7.52,14.01,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core068,2,2,True,15.04,9.92,23.29,pyannote_31_auto,same_gender_similar,mandarin,0.53
v2_core069,3,2,False,29.69,25.53,30.79,pyannote_31_auto,same_gender_similar,mandarin,0.35
v2_core070,2,2,True,17.19,11.91,23.99,pyannote_31_auto,same_gender_similar,mandarin,0.49
v2_core071,3,3,True,7.71,0.96,2.94,pyannote_31_auto,third_party_background,mandarin,0.38
v2_core072,2,3,False,34.16,29.35,57.19,pyannote_31_auto,third_party_background,mandarin,0.31
v2_core073,3,3,True,23.48,18.27,29.69,pyannote_31_auto,third_party_background,mandarin,0.41
v2_core074,2,3,False,21.13,15.53,41.29,pyannote_31_auto,third_party_background,mandarin,0.29
v2_core075,3,3,True,23.83,18.4,27.55,pyannote_31_auto,third_party_background,mandarin,0.37
v2_core076,3,3,True,20.79,16.69,26.62,pyannote_31_auto,third_party_background,mandarin,0.4
v2_core077,2,3,False,22.96,18.65,43.65,pyannote_31_auto,third_party_background,mandarin,0.24
v2_core078,2,3,False,26.65,21.45,49.25,pyannote_31_auto,third_party_background,mandarin,0.32
v2_core079,3,3,True,6.81,1.74,5.47,pyannote_31_auto,third_party_background,mandarin,0.28
v2_core080,3,3,True,7.65,2.9,4.48,pyannote_31_auto,third_party_background,mandarin,1.75
v2_core081,2,2,True,9.11,2.31,5.1,pyannote_31_auto,clean_turn_taking,mandarin,0.48
v2_core082,2,2,True,5.69,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.43
v2_core083,2,2,True,17.88,13.72,28.2,pyannote_31_auto,clean_turn_taking,mandarin,0.48
v2_core084,2,2,True,4.59,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.36
v2_core085,1,2,False,48.59,45.67,72.84,pyannote_31_auto,clean_turn_taking,mandarin,0.48
v2_core086,2,2,True,3.7,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.49
v2_core087,4,2,False,15.33,9.77,9.83,pyannote_31_auto,reentry_short_gap,mandarin,0.46
v2_core088,4,2,False,20.81,15.38,14.66,pyannote_31_auto,reentry_short_gap,mandarin,0.43
v2_core089,3,2,False,28.71,24.71,43.54,pyannote_31_auto,reentry_short_gap,mandarin,0.47
v2_core090,3,2,False,14.89,7.87,10.66,pyannote_31_auto,reentry_short_gap,mandarin,1.58
v2_core091,3,2,False,18.85,14.2,21.05,pyannote_31_auto,reentry_long_gap,mandarin,2.72
v2_core092,2,2,True,6.0,0.0,0.0,pyannote_31_auto,reentry_long_gap,mandarin,1.42
v2_core093,3,2,False,6.95,1.89,2.64,pyannote_31_auto,reentry_long_gap,mandarin,2.75
v2_core094,4,2,False,27.13,21.71,30.0,pyannote_31_auto,reentry_long_gap,mandarin,2.78
v2_core095,2,2,True,4.95,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.3
v2_core096,2,2,True,5.77,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.53
v2_core097,2,2,True,5.22,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,1.53
v2_core098,2,2,True,5.67,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.3
v2_core099,3,2,False,15.78,9.72,19.02,pyannote_31_auto,customer_barge_in,mandarin,0.3
v2_core100,2,2,True,5.45,0.82,1.85,pyannote_31_auto,customer_barge_in,mandarin,0.44
v2_core101,2,2,True,8.93,2.52,5.06,pyannote_31_auto,clean_turn_taking,mandarin,0.39
v2_core102,4,2,False,16.82,10.9,10.95,pyannote_31_auto,reentry_short_gap,mandarin,0.41
v2_core103,4,2,False,8.01,1.69,2.02,pyannote_31_auto,reentry_short_gap,mandarin,0.46
v2_core104,3,2,False,16.02,10.4,11.02,pyannote_31_auto,reentry_short_gap,mandarin,1.57
v2_core105,3,2,False,14.21,8.58,8.98,pyannote_31_auto,reentry_long_gap,mandarin,1.43
v2_core106,3,2,False,14.85,8.28,7.83,pyannote_31_auto,reentry_long_gap,mandarin,1.57
v2_core107,3,2,False,13.19,6.84,6.71,pyannote_31_auto,reentry_long_gap,mandarin,2.23
v2_core108,2,2,True,5.01,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.39
v2_core109,2,2,True,6.86,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.32
v2_core110,2,2,True,16.63,12.32,28.68,pyannote_31_auto,customer_barge_in,mandarin,0.53
v2_core111,2,2,True,5.18,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.3
v2_core112,3,2,False,19.33,12.33,28.84,pyannote_31_auto,simultaneous_start,mandarin,0.13
v2_core113,2,2,True,5.89,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,1.09
v2_core114,3,2,False,23.16,19.71,41.14,pyannote_31_auto,simultaneous_start,mandarin,0.19
v2_core115,2,2,True,7.54,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.2
v2_core116,3,2,False,10.27,2.07,7.21,pyannote_31_auto,short_backchannel,mandarin,0.23
v2_core117,3,2,False,11.41,3.26,5.26,pyannote_31_auto,short_backchannel,mandarin,0.29
v2_core118,4,2,False,10.42,3.8,10.21,pyannote_31_auto,short_backchannel,mandarin,0.35
v2_core119,3,2,False,10.93,2.79,5.59,pyannote_31_auto,short_backchannel,mandarin,0.27
v2_core120,3,2,False,11.54,4.13,10.64,pyannote_31_auto,short_backchannel,mandarin,1.35
v2_core121,2,2,True,5.51,0.0,0.0,pyannote_31_auto,same_gender_similar,mandarin,0.61
v2_core122,2,2,True,11.93,8.12,17.36,pyannote_31_auto,same_gender_similar,mandarin,0.58
v2_core123,2,2,True,13.8,9.94,18.08,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core124,2,2,True,15.26,10.42,20.15,pyannote_31_auto,same_gender_similar,mandarin,0.49
v2_core125,2,2,True,7.94,2.28,4.5,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core126,2,2,True,23.52,17.86,35.97,pyannote_31_auto,same_gender_similar,mandarin,0.38
v2_core127,2,2,True,8.59,2.58,5.05,pyannote_31_auto,same_gender_similar,mandarin,0.46
v2_core128,2,2,True,22.38,18.09,31.71,pyannote_31_auto,same_gender_similar,mandarin,1.31
v2_core129,2,2,True,26.32,21.62,35.89,pyannote_31_auto,same_gender_similar,mandarin,1.44
v2_core130,2,2,True,16.05,9.96,19.18,pyannote_31_auto,same_gender_similar,mandarin,0.51
v2_core131,2,2,True,7.62,0.95,1.86,pyannote_31_auto,same_gender_similar,mandarin,0.42
v2_core132,2,2,True,18.05,13.37,25.93,pyannote_31_auto,same_gender_similar,mandarin,0.4
v2_core133,2,2,True,21.98,16.21,27.93,pyannote_31_auto,same_gender_similar,mandarin,0.36
v2_core134,2,2,True,17.05,12.67,25.36,pyannote_31_auto,same_gender_similar,mandarin,0.39
