case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core001,2,2,True,5.32,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.65
v2_core002,2,2,True,5.59,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.67
v2_core003,2,2,True,20.93,16.31,31.91,pyannote_31_fixedN,clean_turn_taking,mandarin,0.7
v2_core004,2,2,True,4.85,0.0,0.0,pyannote_31_fixedN,clean_turn_taking,mandarin,0.43
v2_core005,2,2,True,11.34,6.31,11.89,pyannote_31_fixedN,clean_turn_taking,mandarin,0.69
v2_core006,2,2,True,6.67,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.67
v2_core007,2,2,True,5.26,0.61,1.41,pyannote_31_fixedN,reentry_short_gap,mandarin,0.57
v2_core008,2,2,True,46.26,41.99,65.5,pyannote_31_fixedN,reentry_short_gap,mandarin,0.42
v2_core009,2,2,True,5.76,0.0,0.0,pyannote_31_fixedN,reentry_short_gap,mandarin,0.51
v2_core010,2,2,True,36.7,34.43,62.42,pyannote_31_fixedN,reentry_short_gap,mandarin,0.64
v2_core011,2,2,True,6.92,0.78,1.74,pyannote_31_fixedN,reentry_long_gap,mandarin,1.36
v2_core012,2,2,True,8.2,2.28,4.6,pyannote_31_fixedN,reentry_long_gap,mandarin,1.86
v2_core013,2,2,True,6.22,0.28,0.7,pyannote_31_fixedN,reentry_long_gap,mandarin,2.18
v2_core014,2,2,True,5.89,0.0,0.0,pyannote_31_fixedN,reentry_long_gap,mandarin,1.62
v2_core015,2,2,True,8.29,2.1,4.54,pyannote_31_fixedN,reentry_long_gap,mandarin,1.13
v2_core016,2,2,True,6.06,0.0,0.0,pyannote_31_fixedN,short_backchannel,mandarin,0.38
v2_core017,2,2,True,19.77,14.45,53.7,pyannote_31_fixedN,short_backchannel,mandarin,0.46
v2_core018,2,2,True,7.17,0.85,2.16,pyannote_31_fixedN,short_backchannel,mandarin,0.34
v2_core019,2,2,True,9.82,1.63,4.3,pyannote_31_fixedN,short_backchannel,mandarin,0.32
v2_core020,2,2,True,16.22,9.68,24.02,pyannote_31_fixedN,short_backchannel,mandarin,0.48
v2_core021,2,2,True,5.93,0.14,0.18,pyannote_31_fixedN,agent_barge_in,mandarin,0.54
v2_core022,2,2,True,11.78,6.56,13.1,pyannote_31_fixedN,agent_barge_in,mandarin,0.46
v2_core023,2,2,True,11.01,7.14,14.24,pyannote_31_fixedN,agent_barge_in,mandarin,0.57
v2_core024,2,2,True,5.06,0.0,0.0,pyannote_31_fixedN,agent_barge_in,mandarin,0.35
v2_core025,2,2,True,20.98,16.89,29.49,pyannote_31_fixedN,agent_barge_in,mandarin,0.52
v2_core026,2,2,True,5.86,0.09,0.1,pyannote_31_fixedN,agent_barge_in,mandarin,0.39
v2_core027,2,2,True,5.21,0.0,0.0,pyannote_31_fixedN,agent_barge_in,mandarin,0.42
v2_core028,2,2,True,6.63,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.39
v2_core029,2,2,True,6.88,0.26,0.4,pyannote_31_fixedN,customer_barge_in,mandarin,0.29
v2_core030,2,2,True,14.75,10.23,30.55,pyannote_31_fixedN,customer_barge_in,mandarin,0.46
v2_core031,2,2,True,6.27,0.19,0.17,pyannote_31_fixedN,customer_barge_in,mandarin,0.38
v2_core032,2,2,True,5.91,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.41
v2_core033,2,2,True,16.65,10.94,23.45,pyannote_31_fixedN,customer_barge_in,mandarin,0.4
v2_core034,2,2,True,5.69,0.0,0.0,pyannote_31_fixedN,customer_barge_in,mandarin,0.31
v2_core035,2,2,True,6.51,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.19
v2_core036,2,2,True,4.38,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.12
v2_core037,2,2,True,17.78,11.81,23.1,pyannote_31_fixedN,simultaneous_start,mandarin,0.15
v2_core038,2,2,True,4.39,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.19
v2_core039,2,2,True,6.52,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.26
v2_core040,2,2,True,5.87,0.0,0.0,pyannote_31_fixedN,simultaneous_start,mandarin,0.2
v2_core041,2,2,True,4.4,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.78
v2_core042,2,2,True,12.92,9.19,18.04,pyannote_31_fixedN,hokkien_pure,hokkien,0.54
v2_core043,2,2,True,4.82,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.54
v2_core044,2,2,True,4.92,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.63
v2_core045,2,2,True,4.51,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.5
v2_core046,2,2,True,4.96,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.58
v2_core047,2,2,True,4.99,0.1,0.08,pyannote_31_fixedN,hokkien_pure,hokkien,0.55
v2_core048,2,2,True,5.09,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.65
v2_core049,2,2,True,5.09,0.0,0.0,pyannote_31_fixedN,hokkien_pure,hokkien,0.59
v2_core050,2,2,True,7.62,3.82,7.39,pyannote_31_fixedN,hokkien_pure,hokkien,0.43
v2_core051,2,2,True,6.02,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.43
v2_core052,2,2,True,4.35,0.03,0.02,pyannote_31_fixedN,codeswitch,codeswitch,0.61
v2_core053,2,2,True,5.46,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.36
v2_core054,2,2,True,21.06,15.21,27.24,pyannote_31_fixedN,codeswitch,codeswitch,0.49
v2_core055,2,2,True,5.94,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.53
v2_core056,2,2,True,7.02,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.4
v2_core057,2,2,True,11.82,5.03,9.61,pyannote_31_fixedN,codeswitch,codeswitch,0.44
v2_core058,2,2,True,6.6,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.38
v2_core059,2,2,True,4.46,0.0,0.0,pyannote_31_fixedN,codeswitch,codeswitch,0.52
v2_core060,2,2,True,9.11,3.63,7.02,pyannote_31_fixedN,codeswitch,codeswitch,0.49
v2_core061,2,2,True,7.99,2.73,5.35,pyannote_31_fixedN,same_gender_similar,mandarin,0.44
